epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.151,1.91257,105.235,1.28503,0,0,0,0,1e-05,66.1481,0,0.00046,0.00046,0.00046
2,240.311,4.39535,55.256,2.67527,0,0,0,0,0,38.4671,0,0.000921388,0.000921388,0.000921388
3,354.997,4.11039,21.9636,2.02494,0,0,0,0,0,29.0453,0,0.00136377,0.00136377,0.00136377
4,468.982,3.79335,8.19774,1.48042,0,0,0,0,0,35.3904,0,0.00178714,0.00178714,0.00178714
5,581.122,3.40079,5.86249,1.28819,0,0,0,0,0.38149,26.2162,0.09668,0.0018416,0.0018416,0.0018416
6,751.261,3.21019,4.42726,1.40151,0,0,0,0,1.29699,28.1877,0.38474,0.001802,0.001802,0.001802
7,867.041,2.83229,3.72151,1.33255,0,0,0,0,6.38569,15.0101,2.09244,0.0017624,0.0017624,0.0017624
8,980.793,2.72629,3.35924,1.14817,0.00042,0.07143,0.00025,2e-05,4.62091,7.81736,1.21637,0.0017228,0.0017228,0.0017228
9,1094,2.63731,3.22554,1.20265,0,0,0,0,5.53898,10.0159,1.5879,0.0016832,0.0016832,0.0016832
10,1207.17,2.45439,2.7939,1.13096,0,0,0,0,5.47744,10.6487,1.48911,0.0016436,0.0016436,0.0016436
11,1320.89,2.49837,2.63702,1.11504,0,0,0,0,6.40822,12.2033,2.20466,0.001604,0.001604,0.001604
12,1434.4,2.31529,2.34719,1.09544,0,0,0,0,6.19553,16.8489,1.88619,0.0015644,0.0015644,0.0015644
13,1547.76,2.26495,2.21246,1.11372,0.00106,0.07143,0.00058,0.00023,3.94695,6.87082,1.15435,0.0015248,0.0015248,0.0015248
14,1662.57,2.27977,2.05915,1.0635,0.00025,0.07143,0.00136,0.00027,3.8134,6.84107,1.10805,0.0014852,0.0014852,0.0014852
15,1776.83,2.29195,2.09434,1.09655,0.00035,0.07143,0.00053,0.00011,5.1419,8.02899,1.43145,0.0014456,0.0014456,0.0014456
16,1891.66,2.2061,1.98554,1.05612,0,0,0,0,5.7496,9.5836,1.64683,0.001406,0.001406,0.001406
17,2005.88,2.13326,1.87284,1.03326,0,0,0,0,6.15027,9.44635,1.80711,0.0013664,0.0013664,0.0013664
18,2119.72,2.14246,1.7709,1.03238,0,0,0,0,5.18484,7.85768,1.29888,0.0013268,0.0013268,0.0013268
19,2235.62,2.09536,1.73612,1.04498,0,0,0,0,5.04329,6.85464,1.31709,0.0012872,0.0012872,0.0012872
20,2361,2.16755,1.65011,1.03625,0,0,0,0,6.05996,8.9007,1.88272,0.0012476,0.0012476,0.0012476
21,2485.25,2.11003,1.64094,1.06293,0,0,0,0,5.94423,9.08409,1.65517,0.001208,0.001208,0.001208
22,2607.64,2.16753,1.61855,1.04795,0,0,0,0,6.18051,9.6656,1.76331,0.0011684,0.0011684,0.0011684
23,2727.23,2.04599,1.55734,1.02183,0,0,0,0,6.06576,8.58428,1.7,0.0011288,0.0011288,0.0011288
24,2847.02,2.01328,1.50776,1.0339,0,0,0,0,5.91071,7.93073,1.61957,0.0010892,0.0010892,0.0010892
25,2966.27,1.96355,1.49523,1.00582,0,0,0,0,5.217,8.23583,1.35689,0.0010496,0.0010496,0.0010496
26,3084.11,1.95737,1.46774,1.00694,0.00081,0.07143,0.0022,0.00022,4.63651,8.13737,1.21115,0.00101,0.00101,0.00101
27,3203.83,1.96153,1.42428,1.01519,0,0,0,0,6.09258,7.81026,1.6505,0.0009704,0.0009704,0.0009704
28,3322.03,2.00916,1.46997,1.02657,0.01757,0.07143,0.00497,0.00144,4.66815,5.90178,1.25541,0.0009308,0.0009308,0.0009308
29,3443.29,1.87915,1.33713,0.9538,0,0,0,0,5.26956,9.04576,1.47074,0.0008912,0.0008912,0.0008912
30,3561.09,1.9421,1.36685,0.98479,0,0,0,0,5.74239,16.2916,1.63726,0.0008516,0.0008516,0.0008516
31,3678.45,1.9544,1.35528,1.00217,0.00655,0.07143,0.00224,0.00022,5.1757,9.04953,1.38725,0.000812,0.000812,0.000812
32,3795.85,1.85797,1.25628,0.9673,0,0,0,0,6.05469,8.2572,1.68372,0.0007724,0.0007724,0.0007724
