epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.9399,0.04069,118.516,0.02758,0,0,0,0,1e-05,66.0096,0,0.00026,0.00026,0.00026
2,162.113,0.01316,93.1234,0.00775,0,0,0,0,1e-05,63.969,0,0.000529308,0.000529308,0.000529308
3,233.168,0.02084,77.3205,0.01182,0,0,0,0,1e-05,39.1242,0,0.000787528,0.000787528,0.000787528
4,303.69,0.06516,70.217,0.03738,0,0,0,0,1e-05,27.1079,0,0.00103466,0.00103466,0.00103466
5,373.509,0.14922,63.2963,0.07084,0,0,0,0,0.00195,30.4458,0.00087,0.0012707,0.0012707,0.0012707
6,443.508,0.9187,57.2521,0.36261,0,0,0,0,6.36035,17.9767,3.06161,0.00149566,0.00149566,0.00149566
7,513.31,1.93848,51.5448,0.65474,0,0,0,0,5.62761,7.80427,3.56476,0.00170953,0.00170953,0.00170953
8,582.253,4.46678,43.7744,1.53972,0,0,0,0,4.96396,5.57201,5.17313,0.0017228,0.0017228,0.0017228
9,651.553,4.42981,22.2336,1.62622,0,0,0,0,0.01073,3.33564,0.00412,0.0016832,0.0016832,0.0016832
10,720.929,4.24381,11.768,1.49818,0,0,0,0,4.83409,10.0725,1.99527,0.0016436,0.0016436,0.0016436
11,790.807,4.22884,9.34602,1.36803,0,0,0,0,4.63786,13.1513,1.25436,0.001604,0.001604,0.001604
12,860.071,4.16884,8.13636,1.30289,0,0,0,0,5e-05,21.5057,2e-05,0.0015644,0.0015644,0.0015644
13,930.46,4.08715,7.38626,1.27767,0,0,0,0,0,20.0853,0,0.0015248,0.0015248,0.0015248
14,999.824,4.1193,7.27709,1.31409,0,0,0,0,0,15.7722,0,0.0014852,0.0014852,0.0014852
15,1068.69,4.07293,6.74245,1.30725,0,0,0,0,0,17.1013,0,0.0014456,0.0014456,0.0014456
16,1291.15,4.12362,6.75411,1.31181,0,0,0,0,4.45636,8.87997,1.19054,0.001406,0.001406,0.001406
17,1366.65,4.08619,6.32415,1.27325,0,0,0,0,5.23865,13.4653,1.26769,0.0013664,0.0013664,0.0013664
18,1444.87,4.05239,6.02165,1.25719,0,0,0,0,3.76403,14.7055,0.9001,0.0013268,0.0013268,0.0013268
19,1521.58,4.04084,5.88106,1.26673,0,0,0,0,4.81737,9.59304,1.23481,0.0012872,0.0012872,0.0012872
20,1599.79,4.04115,5.78937,1.2612,0,0,0,0,4.33284,6.09568,1.2324,0.0012476,0.0012476,0.0012476
21,1673.33,3.96732,5.23302,1.26666,0.00045,0.07143,0.00028,8e-05,4.68656,5.78603,1.26254,0.001208,0.001208,0.001208
22,1747.37,3.88731,5.15291,1.237,0.00105,0.07143,0.00058,0.00029,4.35757,5.45134,1.22139,0.0011684,0.0011684,0.0011684
23,1825.55,3.92403,4.90603,1.24776,0,0,0,0,4.09059,5.82457,1.15943,0.0011288,0.0011288,0.0011288
24,1901.45,3.85462,4.59657,1.22335,0,0,0,0,3.74013,7.01193,1.09877,0.0010892,0.0010892,0.0010892
25,1977.75,3.7431,4.36227,1.18576,0,0,0,0,4.08744,5.79788,1.15202,0.0010496,0.0010496,0.0010496
26,2054.19,3.79822,4.25829,1.21695,0,0,0,0,4.72223,5.26824,1.25756,0.00101,0.00101,0.00101
27,2128.83,3.62699,4.07354,1.1925,0.00024,0.07143,0.00324,0.00065,4.59364,5.40958,1.24317,0.0009704,0.0009704,0.0009704
28,2204.08,3.61935,4.16009,1.158,0.0013,0.14286,0.00461,0.00249,4.33252,4.3398,1.18901,0.0009308,0.0009308,0.0009308
29,2278.44,3.67521,3.90011,1.18976,0.00095,0.07143,0.00214,0.00064,4.44716,4.6182,1.20881,0.0008912,0.0008912,0.0008912
30,2353.09,3.6423,3.73733,1.21712,0,0,0,0,4.92455,4.87629,1.35974,0.0008516,0.0008516,0.0008516
31,2437,3.62005,3.83549,1.18606,0,0,0,0,5.15494,5.11759,1.45436,0.000812,0.000812,0.000812
32,2513.42,3.51086,3.58624,1.16464,0.00103,0.07143,0.00388,0.00233,4.36065,4.55003,1.19689,0.0007724,0.0007724,0.0007724
