epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,2587.48,3.45979,3.58005,1.15284,0.00142,0.07143,0.00293,0.00176,4.30722,4.89178,1.1804,0.0007328,0.0007328,0.0007328
34,2661.15,3.40145,3.48323,1.12751,0.00119,0.07143,0.00289,0.00116,4.32333,4.77752,1.18925,0.0006932,0.0006932,0.0006932
35,2733.29,3.40235,3.3883,1.15575,0.00118,0.07143,0.00449,0.00135,4.4302,4.52431,1.19044,0.0006536,0.0006536,0.0006536
36,2805.92,3.43338,3.33802,1.12208,0.00183,0.14286,0.00738,0.00141,4.58057,4.27953,1.23035,0.000614,0.000614,0.000614
37,2878.39,3.17009,3.13885,1.09649,0,0,0,0,4.99921,4.56102,1.38924,0.0005744,0.0005744,0.0005744
38,2951.75,3.27443,3.09111,1.10466,0.001,0.07143,0.00515,0.00103,5.03201,4.48159,1.40263,0.0005348,0.0005348,0.0005348
39,3057.32,3.23215,2.92495,1.1238,0.00116,0.07143,0.00803,0.00161,4.90623,4.40343,1.35981,0.0004952,0.0004952,0.0004952
40,3132.31,3.22157,2.97223,1.10733,0.0023,0.07143,0.00366,0.00146,4.59261,4.2216,1.25711,0.0004556,0.0004556,0.0004556
41,3206.24,3.05423,3.12858,1.13036,0.00095,0.07143,0.00401,0.0016,4.24886,4.14987,1.16131,0.000416,0.000416,0.000416
42,3277.82,3.0794,3.12739,1.10397,0.0009,0.07143,0.00382,0.00153,4.22158,4.15183,1.15403,0.0003764,0.0003764,0.0003764
43,3349.64,2.95997,2.95618,1.13465,0.00083,0.07143,0.00351,0.0014,4.51178,4.16953,1.22038,0.0003368,0.0003368,0.0003368
44,3520.46,2.83989,2.90525,1.10359,0.00161,0.14286,0.00352,0.0004,4.73784,4.5527,1.27726,0.0002972,0.0002972,0.0002972
45,3590.5,2.88483,2.81552,1.13238,0.00174,0.14286,0.00418,0.00062,4.75581,4.62955,1.26463,0.0002576,0.0002576,0.0002576
46,3659.36,2.80611,2.78127,1.08813,0.00169,0.14286,0.00436,0.00131,4.45518,4.33157,1.19606,0.000218,0.000218,0.000218
47,3728.93,2.67471,2.7316,1.07375,0.00163,0.14286,0.00392,0.0015,4.35681,4.18802,1.17511,0.0001784,0.0001784,0.0001784
48,3799.56,2.88267,2.66922,1.1043,0.00272,0.21429,0.0046,0.00192,4.11204,3.95372,1.11348,0.0001388,0.0001388,0.0001388
49,3870.14,2.80479,2.5762,1.08856,0.00188,0.14286,0.00415,0.00231,4.13288,3.94935,1.12489,9.92e-05,9.92e-05,9.92e-05
50,3941.1,2.78253,2.61739,1.10308,0.00368,0.07143,0.00442,0.00279,4.27313,4.0387,1.18407,5.96e-05,5.96e-05,5.96e-05
